name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Love Grows (Where My Rosemary Goes),0.403,0.568,0.824,0.0,0.0855,-4.613,0.0299,108.625,0.753
Good Morning,8.5e-06,0.439,0.752,0.6,0.16,-6.001,0.0308,129.953,0.144
Dance Monkey,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,98.027,0.513
Walk Of Life,0.416,0.461,0.936,0.000135,0.136,-6.824,0.104,172.43,0.811
"Hey, Soul Sister",0.217,0.675,0.885,0.0,0.086,-4.432,0.0436,97.03,0.768
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",0.0642,0.893,0.745,0.0,0.0943,-3.105,0.0571,101.018,0.872
Little Talks,0.0209,0.466,0.801,0.0,0.241,-5.175,0.0354,103.197,0.379
Mercy,0.266,0.793,0.859,0.000356,0.133,-3.774,0.0332,129.912,0.964
Tripping Over Air,0.00185,0.622,0.799,1.08e-06,0.269,-4.811,0.0342,116.985,0.6
Surfin' U.S.A. - Remastered 2001,0.278,0.548,0.705,1.89e-06,0.158,-10.026,0.0375,159.307,0.964
Heat Waves,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,0.531
Accidentally In Love,0.0499,0.556,0.929,1.7e-06,0.0931,-3.659,0.037,137.996,0.842
Shine On,0.0763,0.466,0.634,0.0,0.0678,-5.3,0.0289,128.992,0.324
ABC,0.448,0.559,0.752,0.00061,0.0907,-10.046,0.0581,187.712,0.946
The Wire,0.0126,0.548,0.632,4.95e-06,0.0769,-5.569,0.145,113.682,0.535
Dancing in the Moonlight,0.0528,0.639,0.845,0.0,0.336,-3.333,0.0372,119.48,0.871
Don't Start Now,0.0123,0.793,0.793,0.0,0.0951,-4.521,0.083,123.95,0.679
Posh Kid,0.414,0.806,0.467,0.00304,0.0881,-11.021,0.12,101.048,0.565
I'm Gonna Be (500 Miles),0.151,0.851,0.551,0.0,0.0827,-5.177,0.0396,131.922,0.807
Pretty Shining People,0.14,0.584,0.726,0.0,0.0984,-4.604,0.0371,106.979,0.398
Footloose,0.372,0.537,0.622,0.0,0.127,-6.602,0.224,99.905,0.729
It's Tricky,0.00131,0.965,0.857,0.0,0.0726,-8.458,0.17,127.656,0.951
About Damn Time,0.0995,0.836,0.743,0.0,0.335,-6.305,0.0656,108.966,0.722
Homesick,0.439,0.741,0.711,0.0,0.116,-9.359,0.126,74.989,0.801
Viva La Vida,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,0.417
Sunny,0.088,0.647,0.868,0.124,0.129,-6.427,0.106,121.82,0.804
Drinking Wine,2.64e-05,0.434,0.958,0.000245,0.101,-3.558,0.0543,145.063,0.746
The Bad Touch,0.00209,0.818,0.688,0.0541,0.282,-7.083,0.0379,122.983,0.971
Love Natural,0.0392,0.654,0.791,0.0,0.321,-6.243,0.048,133.042,0.603
All My Friends Are Stoned,0.0871,0.794,0.628,0.0,0.181,-4.321,0.0328,121.793,0.935
On Top Of The World,0.0841,0.631,0.924,3.59e-06,0.084,-5.589,0.146,100.045,0.755
I'm So Excited,0.0962,0.59,0.868,0.000322,0.442,-5.832,0.048,184.348,0.798
My Girl,0.0881,0.692,0.832,0.0674,0.183,-4.414,0.0291,112.007,0.858
Proud Mary,0.13,0.699,0.641,0.000218,0.0601,-7.564,0.0289,120.745,0.728
Best Fake Smile,0.0231,0.689,0.887,0.0,0.275,-4.27,0.0424,142.014,0.937
Conga!,0.141,0.782,0.873,0.0571,0.112,-7.157,0.0475,123.181,0.858
Norgaard,5.12e-06,0.323,0.847,0.0208,0.25,-4.716,0.0348,173.914,0.859
Dynamite,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,0.737
I'm Good,0.00892,0.613,0.923,0.0,0.149,-5.234,0.0691,96.043,0.669
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,0.0076,0.824,0.862,0.000132,0.303,-3.424,0.126,122.98,0.801
Tainted Love - Single Version,0.652,0.516,0.684,0.0,0.685,-5.659,0.0797,161.167,0.84
She Better Come Through,0.117,0.718,0.738,0.0,0.108,-3.555,0.0608,104.994,0.935
Jungle Drum,0.134,0.636,0.881,0.00952,0.074,-5.376,0.0758,118.237,0.845
Friday I'm In Love,0.00126,0.526,0.763,6.75e-05,0.359,-12.663,0.0341,136.205,0.514
Feel Good Inc.,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,0.772
Delilah,0.148,0.685,0.498,8.35e-06,0.112,-6.532,0.0652,150.101,0.743
One Way Or Another,0.00402,0.445,0.872,0.00909,0.047,-6.294,0.0602,162.407,0.834
Adventure of a Lifetime,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,0.53
My Generation - Mono Version,0.14,0.299,0.787,0.0,0.292,-7.93,0.069,94.798,0.716
Havana (feat. Young Thug),0.184,0.765,0.523,3.56e-05,0.132,-4.333,0.03,104.988,0.394
"Rudy, A Message To You",0.0211,0.936,0.414,0.453,0.11,-8.942,0.0791,107.438,0.899
Homerun (Radio Edit),0.0104,0.532,0.831,0.000183,0.0801,-4.359,0.0456,93.948,0.764
Uptown Girl,0.0736,0.696,0.943,0.0,0.653,-2.962,0.043,129.002,0.832
Desire,0.299,0.706,0.777,0.0,0.298,-4.591,0.0567,126.008,0.638
Happy Hour,0.113,0.51,0.918,2.31e-06,0.115,-6.219,0.0433,95.876,0.94
Best Day Of My Life,0.0525,0.673,0.901,0.000535,0.0736,-2.379,0.0348,100.002,0.503
Modern Love - Single Version; 2002 Digital Remaster,0.00227,0.464,0.895,0.00394,0.13,-7.683,0.031,91.905,0.932
Chelsea Dagger,0.0491,0.511,0.815,0.0,0.0826,-3.14,0.144,154.514,0.586
"Sugar, Sugar",0.757,0.757,0.647,3.08e-06,0.0972,-10.264,0.0299,122.771,0.97
Suddenly I See,0.225,0.587,0.767,0.0,0.112,-5.713,0.0449,100.38,0.664
If You Wanna Be Happy,0.611,0.639,0.875,1.18e-05,0.204,-8.231,0.0413,93.242,0.873
Everybody Talks,0.00767,0.479,0.931,0.0,0.306,-3.976,0.0613,154.931,0.708
Start Me Up,0.0273,0.629,0.905,0.199,0.0644,-4.745,0.0378,122.448,0.967
Get Up,0.0237,0.745,0.713,0.00105,0.215,-6.668,0.0633,109.997,0.755
Shotgun,0.286,0.673,0.735,0.0,0.242,-4.733,0.0457,115.744,0.754
Can't Buy Me Love - Remastered 2015,0.118,0.426,0.76,0.0,0.325,-4.082,0.0414,171.838,0.955
dumb dumb,0.22,0.783,0.472,0.000458,0.0798,-8.392,0.0427,122.052,0.589
Side Effects (feat. Emily Warren),0.00277,0.673,0.71,0.0,0.55,-6.744,0.0324,110.017,0.54
Beautiful Day,0.0154,0.536,0.928,0.00134,0.2,-6.492,0.0589,136.258,0.389
It's Love (but it's not mine),0.000178,0.516,0.805,0.00135,0.413,-8.017,0.0311,136.67,0.72
You Can't Hurry Love,0.0674,0.639,0.923,0.0,0.0879,-5.708,0.032,97.874,0.761
Don't Stop (Color on the Walls),0.00183,0.611,0.948,0.0995,0.0969,-3.751,0.0753,133.004,0.79
I'm Still Standing,0.356,0.504,0.904,0.121,0.14,-6.863,0.179,176.808,0.772
Girls,0.00392,0.657,0.913,0.00149,0.466,-4.984,0.0528,108.036,0.906
Shivers,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,0.822
Let's Fall in Love Some More,0.0668,0.607,0.924,0.0,0.117,-5.684,0.0703,134.975,0.778
Alter Ego,0.00379,0.543,0.739,2.29e-06,0.343,-5.618,0.0399,122.016,0.665
Born to Be Alive - The Original,0.0834,0.704,0.868,0.0,0.206,-5.808,0.0315,131.468,0.808
Smaller,0.415,0.405,0.728,0.0,0.0777,-4.76,0.0433,188.701,0.342
All Star,0.0398,0.73,0.862,0.0,0.0818,-5.876,0.0313,104.018,0.77
Got My Mind Set On You,0.0338,0.674,0.84,0.000441,0.0941,-3.879,0.0746,150.011,0.875
Price Tag,0.0294,0.636,0.831,3.85e-06,0.272,-3.945,0.182,175.015,0.668
Jerk It Out,0.0171,0.58,0.981,1.07e-05,0.386,-2.603,0.06,134.007,0.861
Rather Be (feat. Jess Glynne),0.162,0.799,0.586,2.03e-06,0.193,-6.735,0.0377,120.97,0.549
Baby Love,0.2,0.621,0.915,0.00332,0.0964,-5.224,0.0411,130.013,0.818
Bohemian Like You,0.00305,0.578,0.936,0.687,0.47,-5.761,0.0364,131.268,0.659
High,0.028,0.646,0.85,7.21e-05,0.281,-5.145,0.043,116.999,0.518
Barbara Ann,0.19,0.581,0.669,0.0,0.243,-3.659,0.0385,78.073,0.926
LA Calling,0.0607,0.574,0.887,2.41e-06,0.334,-6.172,0.0565,136.057,0.622
Come On Eileen,0.519,0.435,0.652,0.0,0.129,-8.495,0.0404,108.097,0.806
San Francisco,0.0131,0.363,0.893,0.0,0.0825,-4.81,0.0584,93.041,0.37
Hit The Road Jack,0.0841,0.593,0.752,0.00308,0.197,-6.617,0.0313,172.087,0.935
Work This Body,0.0283,0.421,0.831,0.0,0.464,-5.128,0.106,134.184,0.488
I'm a Believer,0.534,0.519,0.772,1.21e-05,0.271,-6.784,0.0331,79.618,0.961
Iko Iko (My Bestie),0.131,0.862,0.753,2.01e-06,0.077,-5.356,0.0625,105.039,0.827
Walkin' On The Sun,0.456,0.732,0.973,0.0,0.154,-5.33,0.0319,123.292,0.967
Go Your Own Way,0.0219,0.597,0.812,0.00106,0.102,-12.062,0.0315,135.68,0.823
All That She Wants,0.00526,0.707,0.628,8.21e-05,0.104,-9.684,0.0877,187.548,0.87
Song Away,0.0276,0.639,0.72,0.0,0.113,-4.253,0.0284,131.797,0.921
Gotta Go Home,0.223,0.74,0.945,0.116,0.356,-5.666,0.0314,131.644,0.975
Something That I Want,0.0123,0.551,0.834,0.000936,0.472,-5.882,0.0482,168.944,0.962
